analytics_matchkey,industry_code_kind_of_business,reporting_subscriber_code,public_record_type_code,effective_date_date_verified,filed_date,paid_date,amount,public_record_source_type_code,equal_credit_opportunity_act_code,legislative_prohibited_code,plaintiff_name,attorney_name,docket_number
1471691,ZP,70,CJ,20160824,20160803,,1347,CI,I,1,,,
1471691,ZP,138,CJ,20160517,20160504,,1149,CI,C,1,,,
1471691,ZP,70,PC,20160913,20160106,20160906,3710,CI,I,1,,,
1471691,ZP,70,PC,20160913,20151014,20160907,315,CI,C,1,,,
1471691,ZP,92,RL,20150211,20131104,20140808,311,RD,C,1,,,
1471691,ZP,70,PC,20151201,20130612,20151116,951,CI,I,1,,,
1471691,ZP,70,PC,20130417,20130320,20130408,337,CI,C,1,,,
1471691,ZP,70,PC,20130410,20121205,20130328,1054,CI,C,1,,,
1471691,ZP,70,PC,20130327,20120711,20130322,386,CI,I,1,,,
1471691,ZP,70,PC,20130514,20111206,20130422,210,CI,C,1,,,
1471691,ZP,70,PC,20130417,20110420,20130402,1637,CI,I,1,,,
1471703,ZP,120,CJ,20140625,20130131,,8999,MU,I,1,,,
1471707,ZP,254,CJ,20101230,20101021,,1493,CI,I,1,,,
1471709,ZP,144,PC,20140204,20111219,20120117,198,CI,C,2,,,
1471709,ZP,438,7X,20071128,20070831,20071127,,FE,I,1,,,
1471726,ZP,688,PC,20130108,20100414,20121217,1205,CI,I,1,,,
1471726,ZP,688,PC,20120321,20120111,20120308,2013,CI,I,1,,,
1471727,ZP,111,CJ,20131214,20131021,,5245,CI,I,1,,,
1471735,ZP,61,CB,20100807,20100707,20100730,837,CI,I,1,,,
1471735,ZP,418,7X,20101214,20100730,20101213,,FE,C,1,,,
1471744,ZP,66,CJ,20150619,20150326,,6655,CI,I,1,,,
1471749,ZP,204,RL,20111207,20110503,20110708,2356,RD,C,1,,,
1471752,ZP,92,CJ,20160112,20150630,,746,CI,I,1,,,
1471752,ZP,92,CJ,20151215,20150903,,994,CI,I,1,,,
1471757,ZP,103,CJ,20160914,20160509,,1023,MU,I,1,,,
1471764,Z,762,CJ,20150521,20150413,,6900,CI,C,1,,,
1471766,ZP,483,7X,20090115,20080917,20090113,,FE,C,1,,,
1471783,ZP,24,CJ,20140328,20140326,,877,CI,I,1,,,
1471783,ZP,24,CJ,20111110,20110524,,7055,CI,C,1,,,
1471793,ZP,418,7X,20131001,20130326,20130930,,FE,I,1,,,
1471793,ZP,133,CJ,20131012,20130815,,478,CI,I,1,,,
1471810,ZP,559,CJ,20130702,20130530,,2240,CI,I,1,,,
1471811,ZP,559,CJ,20100608,20100525,,699,CI,I,1,,,
1471811,ZP,559,CJ,20100817,20100726,,972,CI,C,1,,,
1471835,ZP,541,CJ,20150626,20150611,,932,CI,C,1,,,
1471856,ZP,277,7F,20160615,20160614,,,FE,I,1,,,
1471861,ZP,389,CJ,20160517,20160509,,1544,CI,I,1,,,
1471870,ZP,35P,7X,20100320,20091113,20100319,,FE,C,1,,,
1471871,ZP,122,CJ,20150124,20100916,,1500,CI,C,1,,,
1471871,ZP,122,CJ,20141230,20100218,,1400,CI,I,1,,,
1471876,ZP,89,PC,20130307,20120823,20121010,1255,CI,C,1,,,
1471876,ZP,89,PC,20120522,20100420,20120228,956,CI,C,1,,,
1471876,ZP,89,CJ,20160927,20160823,,2308,CI,C,1,,,
1471876,ZP,89,PC,20160609,20160224,20160502,2853,CI,C,1,,,
1471876,ZP,19,SL,20151222,20151030,,83,RD,I,1,,,
1471876,ZP,89,PC,20120522,20100407,20111026,1013,CI,C,1,,,
1471878,ZP,333,CJ,20130619,20130328,,1387,CI,C,1,,,
1471883,Z,97,CJ,20150729,20150721,,13483,CI,I,1,,,
1471883,Z,97,CJ,20141101,20141027,,2126,CI,I,2,,,
1471889,Z,466,RL,20120817,20110928,20120718,883,RD,I,1,,,
1471889,Z,466,RL,20110818,20101004,20110725,523,RD,I,1,,,
1471889,Z,466,RL,20130222,20120809,20130128,478,RD,I,1,,,
1471889,Z,466,SL,20150923,20150807,,548,RD,I,1,,,
1471889,Z,466,RL,20150924,20140917,20150820,1335,RD,I,1,,,
1471889,Z,466,RL,20140410,20130911,20140226,1050,RD,I,1,,,
1471891,ZP,116,CJ,20111020,20110531,,2791,CI,I,1,,,
1471893,ZP,203,7X,20150721,20150402,20150720,,FE,C,1,,,
1471895,ZP,116,PC,20150113,20140516,20141113,549,CI,I,1,,,
1471905,Z,67,PL,20160615,20160309,20160609,181,RD,C,1,,,
1471926,ZP,296,CJ,20100520,20100325,,6526,CI,C,1,,,
1471933,ZP,100,PC,20141204,20131202,20141014,891,CI,I,1,,,
1471933,ZP,105,CJ,20160816,20160629,,434,CI,I,1,,,
1471936,ZP,203,7X,20151118,20150819,20151117,,FE,I,1,,,
1471936,ZP,325,CB,20120609,20120329,20150819,6795,CI,I,1,,,
1471937,ZP,632,7X,20110803,20110411,20110802,,FE,C,1,,,
1471940,ZP,141,RL,20110920,20100812,20110809,518,RD,I,1,,,
1471943,Z,58,PC,20160921,20160405,20160606,2819,CI,I,1,,,
1471946,ZP,46,PC,20150312,20130626,20150304,1046,CI,I,2,,,
1471946,ZP,46,CJ,20141125,20141022,,2513,CI,I,2,,,
1471963,ZP,14U,FT,20141008,20140929,,21502,RD,I,1,,,
1471963,ZP,14U,FT,20140729,20140710,,52847,RD,I,1,,,
1471963,ZP,14U,FT,20140409,20140331,,19376,RD,I,1,,,
1471963,ZP,14U,FT,20140222,20140218,,5358,RD,I,1,,,
1471963,ZP,14U,FT,20151023,20151021,,7783,RD,I,1,,,
1471968,ZP,01L,7X,20131018,20130715,20131017,,FE,I,1,,,
1471971,ZP,34,PC,20160608,20140414,20140825,2541,CI,C,2,,,
1471971,ZP,88,PC,20140908,20140411,20140521,3024,CI,C,1,,,
1471971,ZP,5,7X,20140219,20131115,20140218,,FE,I,1,,,
1471971,ZP,34,CB,20111207,20110620,20131115,1174,CI,C,2,,,
1471971,ZP,88,CJ,20160217,20150715,,2284,CI,I,1,,,
1471974,ZP,459,CJ,20120314,20111230,,326,CI,C,2,,,
1471985,ZP,218,7X,20090430,20081223,20090429,,FE,C,1,,,
1471988,ZP,81,RL,20130813,20111130,20120411,779,RD,C,1,,,
1471989,ZP,81,RL,20130813,20111130,20120411,779,RD,C,1,,,
1472006,ZP,15R,CJ,20151105,20110314,,6662,RD,I,1,,,
1472007,ZP,15R,CJ,20151105,20110314,,6662,RD,I,1,,,
1472010,ZP,175,PC,20110322,20091201,20110209,4641,CI,I,1,,,
1472013,ZP,373,3F,20120210,20120209,,,FE,C,1,,,
1472013,ZP,283,CJ,20111110,20111102,,598,CI,I,1,,,
1472021,ZP,36,CJ,20130212,20130123,,5472,CI,I,1,,,
1472021,ZP,36,PC,20121205,20120802,20121113,1775,CI,I,1,,,
1472022,ZP,693,7X,20081225,20080910,20081224,,FE,C,1,,,
1472023,ZP,693,7X,20081225,20080910,20081224,,FE,C,1,,,
1472024,ZP,693,7X,20081225,20080910,20081224,,FE,C,1,,,
1472025,ZP,693,7X,20081225,20080910,20081224,,FE,C,1,,,
1472027,ZP,1,3D,20100512,20100401,20100511,,FE,I,1,,,
1472039,ZP,232,PC,20141111,20141006,20141104,2909,CI,I,1,,,
1472041,Z,119,PC,20160609,20131227,20160314,1606,CI,I,2,,,
1472041,Z,119,CJ,20101118,20101103,,591,CI,I,1,,,
1472045,ZP,306,7X,20111008,20110629,20111007,,FE,I,1,,,
1472049,Z,429,SL,20160420,20160329,,1222,RD,I,1,,,
1472055,ZP,381,3D,20141206,20120623,20141205,,FE,I,1,,,
1472065,ZP,31S,PF,20140514,20090527,20140506,5773,RD,I,1,,,
1472070,ZP,53,PL,20110504,20091113,20110413,2552,RD,C,1,,,
1472089,ZP,373,7X,20081030,20080730,20081028,,FE,I,1,,,
1472091,ZP,80,PC,20140314,20121011,20140213,931,CI,I,1,,,
1472092,ZP,25R,SL,20100317,20100202,,1218,RD,I,1,,,
1472093,ZP,16N,CJ,20110205,20100714,,2515,RD,I,1,,,
1472094,ZP,00T,CJ,20160528,20160517,,1799,CI,I,1,,,
1472096,Z,240,PF,20160908,20090513,20120119,8046,CR,I,1,,,
1472096,ZP,53,7X,20111222,20110809,20111221,,FE,I,1,,,
1472096,Z,240,FT,20160908,20110127,,3838,CR,I,1,,,
1472096,Z,240,PF,20120207,20090513,20120119,12577,RD,I,1,,,
1472096,ZP,25N,RL,20160803,20090129,20140606,3053,RD,I,1,,,
1472109,ZP,25K,RL,20091231,20090429,20091112,467,RD,I,1,,,
1472113,ZP,4,SL,20160701,20160531,,1537,RD,I,1,,,
1472113,ZP,5,CJ,20110921,20100823,,4033,CI,I,1,,,
1472116,Z,89,PC,20140221,20110223,20140213,508,CI,I,1,,,
1472119,ZP,03F,7X,20160315,20151204,20160314,,FE,C,1,,,
1472120,ZP,03F,7X,20160315,20151204,20160314,,FE,C,1,,,
1472121,ZP,127,CJ,20140129,20110329,,5657,SU,I,1,,,
1472136,ZP,29,CJ,20121120,20120814,,783,CI,I,1,,,
1472144,Z,109,PC,20130815,20130311,20130516,782,CI,C,2,,,
1472146,Z,425,CJ,20100901,20091203,,585,CI,I,2,,,
1472146,Z,425,CJ,20110809,20110728,,1835,CI,C,1,,,
1472149,ZP,303,CB,20151110,20150807,20160411,7541,CI,C,1,,,
1472149,ZP,303,CB,20150516,20150205,20160411,104,CI,I,1,,,
1472149,ZP,706,7D,20121205,20120809,20121204,,FE,C,1,,,
1472149,ZP,970,7X,20160719,20160411,20160715,,FE,C,1,,,
1472150,ZP,706,7D,20121205,20120809,20121204,,FE,C,1,,,
1472150,ZP,303,CB,20151110,20150807,20160411,7541,CI,C,1,,,
1472150,ZP,970,7X,20160719,20160411,20160715,,FE,C,1,,,
1472157,ZP,415,7X,20070309,20061102,20070307,,FE,C,1,,,
1472162,ZP,405,7X,20091118,20090518,20091117,,FE,I,1,,,
1472180,ZP,199,7X,20130103,20121004,20130102,,FE,C,1,,,
1472180,ZP,68,CB,20150923,20120712,20121004,5833,CI,I,1,,,
1472185,ZP,26P,7X,20120508,20120116,20120507,,FE,C,1,,,
1472190,ZP,100,RL,20111221,20080915,20110323,104,RD,I,1,,,
1472190,ZP,100,RL,20120321,20080211,20110323,2356,RD,I,1,,,
1472190,ZP,94,CJ,20140610,20140325,,542,CI,I,1,,,
1472194,ZP,150,RL,20150316,20131018,20150226,212,RD,I,1,,,
1472206,ZP,34D,SL,20160825,20160811,,7931,RD,I,1,,,
1472206,ZP,53,3F,20151103,20151102,,,FE,C,1,,,
1472207,ZP,324,PL,20121201,20100904,20121128,2567,RD,I,1,,,
1472217,ZP,443,7X,20130905,20130529,20130903,,FE,I,1,,,
1472217,ZP,386,CB,20120922,20120511,20130529,4604,CI,I,1,,,
1472223,ZP,499,RL,20110826,20110124,20110531,1428,RD,I,1,,,
1472223,ZP,499,RL,20151209,20140707,20141015,413,RD,I,1,,,
1472247,ZP,24H,3D,20111221,20110705,20111220,,FE,C,1,,,
1472248,ZP,126,RL,20130530,20130201,20130522,1255,RD,I,1,,,
1472254,ZP,78,PC,20100710,20091104,20100629,559,CI,I,1,,,
1472257,ZP,445,7X,20110304,20101121,20110302,,FE,C,1,,,
1472258,ZP,164,PC,20160906,20160427,20160816,165,CI,I,1,,,
1472260,ZP,1,CP,20160903,20120205,,7577,CI,I,1,,,
1472265,ZP,80,CJ,20140130,20140121,,1824,CI,I,1,,,
1472265,ZP,80,CJ,20100713,20100608,,1381,CI,I,1,,,
1472266,ZP,80,CJ,20130517,20130507,,958,CI,I,1,,,
1472266,ZP,80,CJ,20120308,20120228,,1179,CI,I,1,,,
1472270,ZP,207,PC,20160315,20130807,20140408,315,MU,I,1,,,
1472273,ZP,55,RL,20151026,20091205,20110325,1633,RD,I,1,,,
1472274,ZP,6,PC,20120918,20110712,20111031,354,CI,I,1,,,
1472274,ZP,6,PC,20120110,20100921,20110207,686,CI,C,1,,,
1472275,ZP,6,PC,20120918,20110712,20111031,354,CI,I,1,,,
1472275,ZP,6,PC,20120110,20100921,20110207,686,CI,C,1,,,
1472279,ZP,38,CJ,20130212,20130108,,5000,CI,I,1,,,
1472281,ZP,373,3D,20160326,20100929,20120106,,BK,C,1,,,
1472300,ZP,76,RL,20110723,20101022,20110624,3002,RD,C,1,,,
1472301,ZP,76,RL,20110723,20101022,20110624,3002,RD,C,1,,,
1472303,Z,563,RL,20130919,20120709,20130213,386,RD,C,1,,,
1472307,ZP,54,PL,20130507,20110630,20130422,3706,RD,C,1,,,
1472312,ZP,411,3X,20160813,20110131,20160812,,FE,C,1,,,
1472313,ZP,374,7X,20080904,20080522,20080903,,FE,I,1,,,
1472318,ZP,14U,PF,20150530,20140421,20150526,6221,RD,I,1,,,
1472318,ZP,14U,FT,20140426,20140421,,19480,RD,C,1,,,
1472318,ZP,20B,CJ,20130416,20130212,,4624,CI,I,1,,,
1472326,ZP,184,RL,20111028,20110111,20110525,356,RD,I,1,,,
1472329,ZP,14U,FT,20140927,20140915,,33811,RD,I,1,,,
1472329,ZP,14U,FT,20120504,20120423,,2315,RD,I,1,,,
1472329,ZP,14U,FT,20141112,20141017,,8688,RD,I,1,,,
1472349,ZP,485,7X,20100617,20100215,20100616,,FE,I,1,,,
1472367,ZP,1,7X,20130215,20121114,20130214,,FE,C,1,,,
1472367,ZP,1,3D,20120525,20100811,20100923,,BK,I,1,,,
1472367,Z,234,CB,20120628,20091204,20121114,536,CI,I,1,,,
1472369,ZP,236,CJ,20120323,20120213,,6331,CI,I,1,,,
1472369,ZP,204,SL,20100512,20100111,,4966,RD,I,1,,,
1472369,ZP,204,RL,20160810,20150527,20160504,2130,RD,I,1,,,
1472371,ZP,137,CJ,20140409,20131114,,1876,CI,I,1,,,
1472375,ZP,1,7X,20090905,20090527,20090903,,FE,I,1,,,
1472379,ZP,133,CJ,20120706,20120518,,2106,CI,C,1,,,
1472379,ZP,133,CJ,20140724,20140627,,834,CI,I,1,,,
1472384,ZP,88,CJ,20120807,20120711,,385,CI,I,1,,,
1472384,Z,157,CJ,20110409,20110228,,357,CI,I,1,,,
1472384,Z,157,CJ,20101028,20101014,,5000,CI,C,1,,,
1472384,Z,157,CJ,20101021,20100927,,1946,CI,C,1,,,
1472384,Z,157,CJ,20100624,20100610,,1765,CI,C,1,,,
1472384,Z,157,CJ,20100330,20100311,,3807,CI,C,2,,,
1472384,Z,157,CJ,20091222,20091130,,845,CI,I,1,,,
1472389,ZP,57B,PC,20130904,20101025,20101115,1001,CI,I,1,,,
1472389,ZP,57B,CJ,20130904,20101209,,1125,CI,I,1,,,
1472392,ZP,303,PC,20140211,20120620,20131029,593,CI,I,1,,,
1472400,ZP,78,PC,20140408,20121205,20140318,859,CI,I,1,,,
1472400,ZP,62,PC,20110512,20101109,20110408,271,CI,I,2,,,
1472400,ZP,78,PC,20160325,20151026,20160311,1127,CI,I,1,,,
1472403,ZP,80,CJ,20160310,20160208,,644,CI,I,1,,,
1472404,ZP,185,RL,20130405,20080319,20130304,1314,RD,I,1,,,
1472404,ZP,185,RL,20120601,20091208,20120425,908,RD,I,1,,,
1472411,ZP,211,7X,20160427,20151214,20160426,,FE,I,1,,,
1472413,ZP,627,7X,20090717,20090302,20090716,,FE,C,1,,,
1472415,ZP,26J,7X,20150721,20150301,20150717,,FE,I,1,,,
1472417,Z,222,CJ,20130327,20121002,,1160,CI,I,1,,,
1472417,ZP,107,7X,20080920,20080613,20080919,,FE,I,1,,,
1472418,ZP,700,3X,20160426,20110903,20160425,,FE,C,1,,,
1472432,ZP,97,RL,20121114,20080721,20121108,1449,RD,C,1,,,
1472434,ZP,474,7X,20070724,20070106,20070723,,FE,C,1,,,
1472437,ZP,415,7X,20160101,20150821,20151231,,FE,C,1,,,
1472441,ZP,204,7X,20110326,20101209,20110325,,FE,C,1,,,
1472442,ZP,25S,FT,20140709,20140623,,798,RD,I,1,,,
1472442,ZP,35A,CJ,20100728,20100604,,291,MU,I,1,,,
1472442,ZP,25J,FT,20091215,20091113,,132179,RD,I,1,,,
1472446,Z,113,CJ,20151231,20150714,,1684,CI,C,1,,,
1472456,ZP,831,SL,20140620,20140616,,2252,RD,I,1,,,
1472462,ZP,279,PC,20130701,20100726,20130429,7745,CI,I,1,,,
1472469,ZP,382,PC,20101012,20100506,20100527,348,CI,I,1,,,
1472469,ZP,175,CJ,20160913,20160607,,2943,CI,I,2,,,
1472472,ZP,139,CJ,20101222,20101208,,853,CI,I,1,,,
1472473,ZP,306,7X,20150822,20150514,20150821,,FE,C,1,,,
1472491,ZP,274,CJ,20110201,20110125,,2058,CI,I,1,,,
1472491,ZP,274,CJ,20100508,20100506,,1852,CI,I,1,,,
1472491,ZP,274,CJ,20130314,20130306,,3533,CI,I,1,,,
1472492,ZP,276,7X,20150509,20150128,20150508,,FE,I,1,,,
1472492,ZP,232,CB,20100720,20100525,20150128,1255,CI,I,1,,,
1472495,ZP,15Q,7X,20150627,20150319,20150625,,FE,C,1,,,
1472496,ZP,15Q,7X,20150627,20150319,20150625,,FE,C,1,,,
1472497,ZP,15Q,7X,20150627,20150319,20150625,,FE,C,1,,,
1472501,ZP,304,7X,20110826,20101228,20110824,,FE,I,1,,,
1472511,ZP,557,SL,20141029,20141002,,1984,RD,I,1,,,
1472518,ZP,323,SL,20100401,20100327,,5465,RD,I,1,,,
1472518,ZP,314,FT,20100506,20100504,,33782,RD,I,1,,,
1472519,ZP,26L,7X,20150606,20140930,20141223,,BK,I,1,,,
1472523,ZP,1,7X,20091031,20090723,20091029,,FE,C,1,,,
1472523,Z,113,CJ,20131105,20131028,,414,CI,C,2,,,
1472523,ZP,23,PL,20130919,20100722,20130909,3156,RD,C,1,,,
1472528,ZP,470,RL,20160824,20160603,20160617,150,RD,I,1,,,
1472533,ZP,115,PC,20141029,20131213,20140130,435,CI,I,1,,,
1472547,ZP,72,SL,20151030,20151021,,190,RD,C,1,,,
1472547,ZP,72,SL,20140509,20140428,,236,RD,C,1,,,
1472547,ZP,72,SL,20131005,20130910,,305,RD,C,1,,,
1472547,ZP,72,SL,20101214,20101021,,528,RD,C,1,,,
1472547,ZP,72,RL,20110224,20091214,20110216,117,RD,C,1,,,
1472547,ZP,72,SL,20151030,20151021,,3987,RD,C,1,,,
1472554,ZP,559,CB,20130716,20091207,20100208,2251,CI,I,1,,,
1472554,ZP,357,7X,20100520,20100208,20100518,,FE,I,1,,,
1472554,ZP,559,CB,20130716,20091221,20100208,11047,CI,I,1,,,
1472556,ZP,137,SL,,20061020,,3902,RD,I,1,,,
1472556,ZP,137,FT,20121005,20120911,,9653,RD,I,1,,,
1472556,ZP,137,RL,20131126,20120104,20131021,2226,RD,I,1,,,
1472557,Z,288,CJ,20160608,20160127,,2669,CI,C,1,,,
1472557,ZP,289,CJ,20121204,20121011,,1857,CI,C,1,,,
1472560,ZP,305,SL,20101215,20100127,,3153,RD,I,1,,,
1472560,ZP,305,SL,20101215,20100127,,9321,RD,I,1,,,
1472560,ZP,305,SL,20101215,20100127,,10101,RD,I,1,,,
1472560,ZP,208,7X,20080202,20070525,20080201,,FE,C,1,,,
1472560,ZP,305,SL,20101222,20100506,,4758,RD,I,1,,,
1472560,ZP,305,SL,20101215,20100127,,14425,RD,I,1,,,
1472563,ZP,82,7X,20130424,20130118,20130422,,FE,C,1,,,
1472572,ZP,263,CJ,20160402,20160331,,2728,CI,I,1,,,
1472572,ZP,99,CJ,20100309,20100122,,1972,CI,I,1,,,
1472574,ZP,44,PC,20130716,20130320,20130607,2892,CI,I,1,,,
1472574,ZP,44,CJ,20130816,20130716,,273,CI,I,2,,,
1472578,ZP,167,PC,20130716,20120713,20130701,594,CI,I,1,,,
1472580,ZP,914,PC,20150428,20101019,20150421,1296,CI,C,1,,,
1472580,ZP,914,PC,20110322,20101012,20110315,1346,CI,I,1,,,
1472583,ZP,01C,7X,20081003,20080602,20081002,,FE,C,1,,,
1472588,ZP,275,7X,20130815,20130506,20130814,,FE,C,1,,,
1472589,ZP,199,7X,20090805,20090421,20090804,,FE,I,1,,,
1472590,ZP,140,CJ,20160518,20150303,,2632,CI,I,1,,,
1472594,ZP,25R,FT,20150413,20110420,,218968,RD,I,1,,,
1472594,ZP,211,SL,20150803,20110525,,13140,RD,I,1,,,
1472596,ZP,186,3X,20140123,20110713,20140122,,FE,C,1,,,
1472598,ZP,358,CJ,20120613,20120427,,450,CI,I,1,,,
1472602,Z,99,CJ,20160206,20160204,,129,CI,C,1,,,
1472603,ZP,333,SL,20120731,20120719,,3398,RD,I,1,,,
1472611,ZP,20H,CJ,20130925,20130813,,776,CI,I,1,,,
1472613,ZP,61,CJ,20100710,20100623,,3143,CI,I,1,,,
1472615,ZP,218,7X,20080816,20080423,20080815,,FE,I,1,,,
1472615,ZP,32,RL,20130703,20090812,20130325,229,RD,I,1,,,
1472622,ZP,49,PF,20120114,20110301,20120111,1180,RD,C,1,,,
1472628,ZP,114,CJ,20140729,20100525,,2354,CI,I,2,,,
1472633,ZP,418,3X,20140304,20101111,20140303,,FE,C,1,,,
1472634,ZP,418,3X,20140304,20101111,20140303,,FE,C,1,,,
1472636,ZP,1,7F,20160713,20160712,,,FE,I,1,,,
1472637,Z,157,PF,20120704,20100830,20120224,16329,RD,C,1,,,
1472637,Z,412,CB,20100922,20100421,20110929,1002,CI,I,1,,,
1472637,Z,412,CB,20100922,20100412,20110929,3460,CI,I,1,,,
1472637,ZP,443,7X,20120107,20110929,20120106,,FE,C,1,,,
1472654,ZP,44,PC,20121011,20120105,20120911,2568,CI,I,1,,,
1472654,ZP,44,PC,20160301,20150917,20160111,690,CI,I,1,,,
1472656,ZP,319,PC,20130319,20111201,20120221,262,CI,I,1,,,
1472656,ZP,319,CJ,20150730,20141006,,1107,CI,I,1,,,
1472656,ZP,319,CJ,20150331,20140214,,776,CI,I,1,,,
1472657,ZP,674,PC,20110510,20110204,20110404,3918,CI,I,1,,,
1472663,ZP,949,CJ,20120626,20120410,,4347,CI,I,1,,,
1472663,ZP,312,CJ,20130731,20130530,,5378,CI,I,1,,,
1472664,ZP,2,7X,20111229,20110831,20111228,,FE,I,1,,,
1472670,ZP,161,CJ,20150311,20131024,,1410,MU,C,1,,,
1472672,ZP,257,7X,20141203,20140813,20141201,,FE,I,1,,,
1472672,ZP,112,CB,20151113,20131218,20140813,1425,CI,I,1,,,
1472674,ZP,115,CJ,20141007,20140825,,1143,CI,I,1,,,
1472675,ZP,82,7X,20110512,20110128,20110510,,FE,I,1,,,
1472680,ZP,384,7X,20160517,20160119,20160516,,FE,C,1,,,
1472690,Z,127,PC,20111013,20100105,20110908,509,CI,I,1,,,
1472690,Z,127,PC,20111013,20100113,20110908,608,CI,C,1,,,
1472690,Z,127,PC,20111013,20110225,20110901,1528,CI,C,1,,,
1472690,Z,127,CJ,20130919,20130723,,427,CI,C,1,,,
1472699,ZP,725,PC,20140827,20130802,20140718,1938,CI,I,1,,,
1472705,ZP,419,7X,20150408,20141231,20150407,,FE,C,1,,,
1472705,ZP,419,7X,20070315,20061130,20070313,,FE,I,1,,,
1472713,ZP,53,7X,20100824,20100513,20100823,,FE,I,1,,,
1472721,ZP,102,CJ,20150422,20150301,,3220,CI,I,1,,,
1472724,ZP,752,CJ,20120410,20120309,,598,CI,I,1,,,
1472728,ZP,281,CJ,20110713,20110304,,5018,CI,I,1,,,
1472742,ZP,23,PC,20120302,20101209,20120112,2875,CI,C,1,,,
1472742,ZP,23,CJ,20100519,20100408,,2564,CI,C,1,,,
1472742,ZP,23,PC,20100915,20100318,20100827,245,CI,I,1,,,
1472742,ZP,23,CJ,20140604,20140424,,3476,CI,I,1,,,
1472743,ZP,109,7X,20131022,20081202,20131021,,FE,I,1,,,
1472750,ZP,259,7X,20160716,20140213,20160713,,FE,I,1,,,
1472754,ZP,592,7X,20090128,20081017,20090127,,FE,I,1,,,
1472754,ZP,514,RL,20120228,20101129,20111122,512,RD,I,1,,,
1472756,ZP,138,PC,20120717,20120119,20120712,2207,CI,C,1,,,
1472759,ZP,830,7X,20150626,20150305,20150625,,FE,C,1,,,
1472765,ZP,60,RL,20130904,20101223,20130814,643,RD,I,1,,,
1472765,ZP,60,RL,20100908,20070829,20100824,314,RD,C,1,,,
1472766,ZP,120,7X,20150220,20140821,20150218,,FE,I,1,,,
1472766,ZP,120,3D,20140318,20130523,20140317,,FE,I,1,,,
1472766,ZP,112,CB,20120801,20120719,20140821,694,CI,I,1,,,
1472766,ZP,112,CB,20120703,20120508,20140821,659,CI,I,1,,,
1472772,ZP,25N,RL,20160928,20110817,20160914,13650,RD,I,1,,,
1472772,ZP,25N,PF,20141210,20100601,20141126,20502,RD,I,1,,,
1472773,ZP,373,7X,20130913,20130606,20130911,,FE,C,1,,,
1472774,ZP,278,CJ,20130212,20130131,,1871,CI,I,1,,,
1472774,ZP,278,CJ,20110813,20110810,,227,CI,C,1,,,
1472779,ZP,436,FT,20110309,20110224,,26660,RD,I,1,,,
1472779,ZP,330,7X,20091125,20090820,20091124,,FE,I,1,,,
1472779,ZP,330,3F,20140617,20140616,,,FE,I,1,,,
1472781,ZP,53,7X,20070601,20070131,20070531,,FE,I,1,,,
1472781,ZP,242,CJ,20120517,20111208,,3484,MU,I,1,,,
1472784,ZP,25K,FT,20160224,20160126,,77734,RD,C,1,,,
1472784,ZP,25K,FT,20151106,20140903,,146882,RD,C,1,,,
1472785,ZP,66V,CJ,20100219,20091113,,4575,CI,I,1,,,
1472785,ZP,64Z,CJ,20120307,20110801,,15895,CI,I,1,,,
1472785,ZP,24H,3D,20110408,20100503,20110407,,FE,C,1,,,
1472790,ZP,15,CJ,20110107,20101227,,502,CI,I,2,,,
1472790,ZP,15,CJ,20111201,20111107,,511,CI,C,2,,,
1472801,ZP,483,7X,20140730,20140410,20140729,,FE,C,1,,,
1472802,ZP,483,7X,20140730,20140410,20140729,,FE,C,1,,,
1472808,ZP,457,FT,20110924,20100913,,74073,RD,I,1,,,
1472811,ZP,01Z,7X,20081216,20080825,20081215,,FE,I,1,,,
1472825,ZP,415,7X,20100224,20090930,20100223,,FE,C,1,,,
1472826,ZP,415,7X,20100224,20090930,20100223,,FE,C,1,,,
1472827,ZP,415,7X,20100224,20090930,20100223,,FE,C,1,,,
1472835,ZP,126,SL,20150128,20150109,,565,RD,I,1,,,
1472838,ZP,915,CJ,20160412,20150209,,2331,CI,I,1,,,
1472852,ZP,1,7X,20131218,20130906,20131217,,FE,I,1,,,
1472852,Z,234,CB,20121207,20121010,20130906,2052,CI,I,1,,,
1472852,ZP,131,SL,20120420,20120229,,2002,RD,I,1,,,
1472852,Z,234,CB,20111230,20111121,20130906,6139,CI,I,1,,,
1472852,ZP,246,CB,20110820,20110715,20130906,2348,CI,I,1,,,
1472852,ZP,246,CB,20101203,20101022,20130906,3751,CI,I,1,,,
1472852,ZP,143,SL,20150226,20150206,,6016,RD,I,1,,,
1472854,ZP,13,CJ,20110301,20110114,,998,CI,I,1,,,
1472854,ZP,13,CJ,20100729,20100322,,2055,CI,I,1,,,
1472864,ZP,00F,CJ,20130730,20130717,,1153,CI,I,1,,,
1472864,ZP,00F,CJ,20130419,20130415,,2201,CI,I,1,,,
1472872,ZP,1,PC,20160305,20140504,20160227,0,CI,I,1,,,
1472872,ZP,1,PC,20140405,20130707,20140308,0,CI,I,1,,,
1472872,ZP,1,PC,20130504,20120304,20130427,0,CI,I,1,,,
1472878,ZP,276,7X,20130704,20130326,20130703,,FE,I,1,,,
1472893,ZP,974,RL,20130104,20120710,20121212,848,RD,I,1,,,
1472894,ZP,188,CJ,20150310,20130925,,2177,CI,I,1,,,
1472894,ZP,188,PC,20160811,20141216,20160706,8200,CI,I,1,,,
1472896,ZP,6,CJ,20110908,20110823,,5638,CI,I,1,,,
